iter	MAE_SumError	MAE_SumWeight
0	134289.4985	1552
1	111125.4985	1552
2	87700.74867	1552
3	78799.74888	1552
4	75243.24883	1552
5	72669.6863	1552
6	71270.9362	1552
7	63858.87373	1552
8	59135.87347	1552
9	57767.73312	1552
10	57227.06901	1552
11	52490.11387	1552
12	50968.37268	1552
13	49341.17905	1552
14	49086.25451	1552
15	47703.19711	1552
16	46724.07013	1552
17	46176.47345	1552
18	45767.36466	1552
19	44850.64229	1552
20	44185.25611	1552
21	42846.27028	1552
22	39749.83087	1552
23	39102.63376	1552
24	38915.2415	1552
25	38746.57023	1552
26	35803.13582	1552
27	35578.9702	1552
28	34861.05466	1552
29	34569.04774	1552
30	34031.88508	1552
31	33709.93078	1552
32	33187.09986	1552
33	33088.08128	1552
34	32337.35239	1552
35	32046.1025	1552
36	31948.74444	1552
37	30945.95255	1552
38	30739.95517	1552
39	30614.38539	1552
40	30410.9459	1552
41	30192.67068	1552
42	29799.29175	1552
43	29618.39982	1552
44	29305.60322	1552
45	29150.8845	1552
46	28786.70673	1552
47	28649.29565	1552
48	28475.10563	1552
49	28108.70494	1552
50	27985.89873	1552
51	27885.28626	1552
52	27699.70059	1552
53	27607.00027	1552
54	27560.6501	1552
55	27537.47502	1552
56	27495.28095	1552
57	27183.45969	1552
58	27170.24397	1552
59	27163.72536	1552
60	27071.17964	1552
61	26953.01448	1552
62	26934.47969	1552
63	26925.2123	1552
64	26785.68981	1552
65	26545.51211	1552
66	26544.11945	1552
67	26543.42512	1552
68	26471.10075	1552
69	26315.02973	1552
70	26314.82093	1552
71	26314.8465	1552
72	26314.79012	1552
73	26314.76194	1552
74	26314.74784	1552
75	26200.9756	1552
76	26128.55415	1552
77	26129.15138	1552
78	26058.54268	1552
79	25835.28243	1552
80	25832.86375	1552
81	25831.6625	1552
82	25831.06188	1552
83	25830.76157	1552
84	25830.61142	1552
85	25830.53634	1552
86	25783.42913	1552
87	25676.13062	1552
88	25675.90994	1552
89	25675.7996	1552
90	25675.74443	1552
91	25675.71685	1552
92	25675.70305	1552
93	25675.69616	1552
94	25675.69271	1552
95	25675.69099	1552
96	25675.69012	1552
97	25675.68969	1552
98	25675.68948	1552
99	25675.68937	1552
100	25675.68932	1552
101	25675.68929	1552
102	25675.68927	1552
103	25675.68927	1552
104	25675.68927	1552
105	25658.28532	1552
106	25403.09935	1552
107	25333.61264	1552
108	25243.54159	1552
