iter	Passed	Remaining
0	1	93522
1	3	81804
2	4	75545
3	5	72419
4	7	70015
5	8	68107
6	9	66500
7	10	65951
8	11	64834
9	12	64013
10	13	63135
11	15	63129
12	16	62461
13	17	61859
14	18	61127
15	19	60501
16	20	59808
17	21	59249
18	22	58756
19	23	58303
20	24	57860
21	25	57554
22	26	57381
23	27	57408
24	28	57563
25	29	57368
26	30	57127
27	31	56877
28	32	56616
29	33	56349
30	34	56120
31	35	55878
32	36	55778
33	37	55511
34	38	55314
35	39	55180
36	40	54974
37	41	54811
38	42	54638
39	43	54690
40	44	54507
41	45	54314
42	46	54133
43	47	53943
44	48	53822
45	49	53694
46	50	53567
47	51	53627
48	52	53511
49	53	53404
50	54	53286
51	55	53160
52	56	53410
53	57	53466
54	58	53373
55	59	53261
56	60	53145
57	61	53041
58	62	52925
59	63	52891
60	64	52802
61	65	52705
62	66	52620
63	67	52538
64	68	52448
65	69	52367
66	70	52285
67	71	52204
68	72	52195
69	73	52133
70	74	52069
71	74	51998
72	75	51957
73	76	51905
74	77	51844
75	78	51780
76	79	51720
77	80	51659
78	81	51601
79	82	51554
80	83	51499
81	84	51444
82	85	51392
83	86	51360
84	87	51324
85	88	51281
86	89	51226
87	90	51173
88	91	51165
89	92	51193
90	93	51198
91	94	51169
92	95	51187
93	96	51190
94	97	51207
95	98	51170
96	99	51134
97	100	51192
98	101	51204
99	102	51209
100	103	51223
101	104	51195
102	105	51172
103	106	51136
104	107	51105
105	108	51063
106	109	51030
107	110	51001
108	111	50969
109	112	50935
110	113	50910
111	114	50877
112	115	50860
113	116	50879
114	117	50854
115	118	50825
116	119	50797
117	120	50770
118	121	50747
119	122	50719
120	122	50689
121	123	50668
122	124	50642
123	125	50608
124	126	50585
125	127	50565
126	128	50545
127	129	50527
128	130	50552
129	131	50537
130	132	50512
131	133	50490
132	134	50468
133	135	50444
134	136	50440
135	137	50443
136	138	50530
137	139	50524
138	140	50511
139	141	50498
140	142	50564
141	143	50552
142	145	50599
143	146	50599
144	147	50608
145	148	50590
146	149	50571
147	150	50544
148	151	50525
149	151	50508
150	152	50491
151	153	50472
152	154	50456
153	155	50441
154	156	50421
155	157	50401
156	159	50519
157	160	50520
158	161	50520
159	162	50503
160	163	50481
161	164	50477
162	165	50501
163	166	50534
164	167	50562
165	168	50645
166	169	50659
167	171	50802
168	172	50924
169	173	50991
170	175	51037
171	176	51083
172	177	51212
173	179	51263
174	180	51281
175	181	51285
176	182	51295
177	183	51294
178	184	51306
179	185	51318
180	186	51355
181	187	51374
182	188	51421
183	189	51409
184	190	51396
185	191	51379
186	192	51369
187	193	51356
188	194	51354
189	195	51348
190	196	51335
191	197	51324
192	198	51309
193	199	51334
194	201	51343
195	202	51439
196	203	51425
197	204	51411
198	205	51463
199	206	51474
200	207	51473
201	208	51496
202	209	51499
203	210	51490
204	211	51485
205	212	51480
206	214	51503
207	215	51511
208	216	51503
209	217	51490
210	218	51477
211	219	51486
212	220	51463
213	221	51441
214	222	51418
215	223	51440
216	224	51426
217	225	51426
218	226	51415
219	227	51403
220	228	51437
221	229	51481
222	230	51466
223	231	51448
224	232	51430
225	233	51411
226	234	51395
227	235	51376
228	236	51358
229	237	51339
230	251	54082
231	252	54072
232	253	54046
233	254	54020
234	254	53994
235	255	53977
236	256	53953
237	257	53931
238	259	53926
239	260	53950
240	261	53917
241	262	53887
242	263	53858
243	264	53854
244	265	53825
245	265	53797
246	266	53770
247	267	53743
248	268	53715
249	269	53698
250	270	53690
251	271	53681
252	273	53680
253	274	53690
254	275	53676
255	276	53663
256	277	53653
257	278	53639
258	279	53616
259	280	53600
260	281	53585
261	282	53568
262	283	53554
263	284	53531
264	285	53522
265	286	53514
266	287	53501
267	288	53495
268	289	53489
269	290	53477
270	291	53456
271	292	53433
272	293	53409
273	294	53385
274	295	53367
275	296	53344
276	297	53322
277	298	53301
278	298	53278
279	299	53257
280	300	53241
281	301	53225
282	302	53205
283	303	53192
284	304	53170
285	305	53148
286	306	53124
287	307	53101
288	308	53078
289	309	53057
290	310	53040
291	311	53020
292	312	53000
293	313	52978
294	314	52958
295	315	52937
296	316	52914
297	317	52909
298	318	52893
299	319	52874
300	320	52911
301	321	52916
302	322	52911
303	323	52892
304	324	52872
305	325	52852
306	326	52831
307	327	52812
308	328	52792
309	332	53256
310	333	53234
311	334	53215
312	335	53197
313	336	53181
314	337	53176
315	338	53160
316	339	53145
317	346	54162
318	348	54263
319	349	54241
320	350	54217
321	351	54194
322	352	54173
323	353	54151
324	354	54131
325	355	54109
326	356	54089
327	357	54067
328	358	54061
329	359	54042
330	360	54023
331	360	54003
332	362	54012
333	363	53997
334	364	53976
335	365	53957
336	365	53936
337	366	53918
338	367	53900
339	369	53927
340	370	53908
341	371	53947
342	372	53927
343	373	53910
344	374	53905
345	375	53889
346	376	53902
347	377	53898
348	378	53882
349	379	53864
350	380	53845
351	381	53825
352	382	53815
353	383	53796
354	384	53778
355	385	53758
356	386	53743
357	387	53722
358	388	53714
359	389	53696
360	390	53679
361	391	53666
362	392	53652
363	393	53634
364	394	53613
365	395	53611
366	396	53591
367	397	53572
368	398	53554
369	399	53536
370	400	53518
371	401	53499
372	401	53481
373	402	53463
374	403	53446
375	404	53427
376	405	53414
377	406	53395
378	407	53373
379	408	53353
380	409	53336
381	410	53322
382	411	53305
383	412	53286
384	413	53271
385	414	53254
386	415	53239
387	416	53225
388	417	53207
389	418	53191
390	419	53175
391	420	53171
392	421	53159
393	422	53146
394	423	53132
395	424	53118
396	425	53103
397	425	53084
398	426	53066
399	427	53051
400	428	53033
401	429	53018
402	430	53008
403	431	52991
404	432	52976
405	433	52960
406	434	52950
407	435	52935
408	436	52919
409	437	52904
410	438	52888
411	439	52871
412	440	52855
413	441	52840
414	442	52828
415	443	52813
416	444	52801
417	445	52796
418	446	52796
419	447	52786
420	448	52777
421	449	52800
422	450	52791
423	451	52781
424	452	52768
425	453	52754
426	454	52740
427	455	52728
428	456	52717
429	457	52704
430	458	52699
431	459	52685
432	460	52672
433	461	52657
434	462	52644
435	463	52636
436	464	52639
437	465	52627
438	466	52621
439	467	52608
440	468	52597
441	469	52586
442	469	52571
443	470	52556
444	471	52541
445	472	52542
446	473	52529
447	474	52519
448	475	52508
449	476	52500
450	477	52486
451	478	52484
452	479	52471
453	480	52458
454	481	52445
455	482	52431
456	483	52418
457	484	52441
458	485	52432
459	486	52422
460	487	52410
461	488	52399
462	489	52393
463	490	52380
464	491	52368
465	492	52361
466	493	52360
467	494	52350
468	495	52338
469	496	52328
470	497	52316
471	498	52308
472	499	52295
473	500	52293
474	501	52282
475	502	52271
476	503	52260
477	504	52248
478	505	52237
479	506	52225
480	507	52232
481	508	52220
482	509	52210
483	510	52201
484	511	52189
485	512	52178
486	513	52168
487	514	52156
488	521	52757
489	522	52750
490	523	52755
491	524	52744
492	525	52741
493	526	52729
494	527	52719
495	528	52705
496	529	52694
497	530	52683
498	530	52672
499	531	52661
500	532	52650
501	533	52639
502	534	52628
503	535	52617
504	536	52605
505	537	52620
506	539	52623
507	540	52611
508	540	52599
509	541	52587
510	542	52576
511	543	52564
512	544	52569
513	545	52564
514	546	52556
515	547	52548
516	548	52540
517	550	52559
518	551	52550
519	552	52566
520	553	52561
521	554	52549
522	555	52537
523	556	52524
524	557	52512
525	558	52504
526	559	52495
527	560	52484
528	561	52478
529	562	52466
530	563	52455
531	564	52445
532	564	52433
533	565	52422
534	566	52416
535	568	52472
536	569	52464
537	570	52453
538	571	52441
539	572	52432
540	573	52426
541	574	52435
542	575	52425
543	576	52414
544	577	52408
545	578	52397
546	579	52400
547	580	52389
548	581	52395
549	582	52385
550	583	52374
551	584	52367
552	585	52355
553	586	52359
554	587	52349
555	588	52344
556	589	52332
557	590	52321
558	591	52319
559	592	52309
560	593	52301
561	594	52290
562	595	52284
563	596	52272
564	597	52271
565	598	52263
566	599	52254
567	600	52246
568	601	52236
569	602	52227
570	603	52218
571	604	52221
572	605	52211
573	606	52201
574	607	52197
575	608	52186
576	609	52179
577	610	52172
578	611	52171
579	612	52161
580	613	52152
581	614	52142
582	615	52133
583	616	52141
584	617	52131
585	618	52121
586	619	52112
587	620	52113
588	621	52103
589	622	52100
590	623	52094
591	624	52086
592	625	52084
593	626	52077
594	627	52099
